Locality,Type,Rent/Month,Build_up_area(sq.ft),Furnishing,Bathrooms,Balcony,Parking,Carpet_area(sq.ft)
Andheri,1 BHK Apartment,42000,665 sq.ft,Fully Furnished,2,Missing,2.0,435 sq.ft
Andheri,1 BHK Apartment,38000,600 sq.ft,Semi Furnished,2,Missing,1.0,450 sq.ft
Andheri,1 BHK Apartment,35000,600 sq.ft,Semi Furnished,2,Missing,1.0,450 sq.ft
Andheri,1 BHK Apartment,27000,600 sq.ft,Fully Furnished,2,1,1.0,500 sq.ft
Andheri,3 BHK Apartment,100000,1800 sq.ft,Semi Furnished,3,Missing,3.0,1200 sq.ft
Andheri,3 BHK Apartment,90000,1490 sq.ft,Fully Furnished,3,Missing,2.0,989 sq.ft
Andheri,1 BHK Apartment,25000,680 sq.ft,Fully Furnished,1,1,2.0,Missing
Andheri,1 BHK Apartment,27000,600 sq.ft,Semi Furnished,1,Missing,0.0,425 sq.ft
Andheri,1 BHK Apartment,26000,650 sq.ft,Unfurnished,1,Missing,0.0,425 sq.ft
Andheri,2 BHK Apartment,28000,550 sq.ft,Semi Furnished,2,Missing,1.0,Missing
Andheri,2 BHK Apartment,70000,1000 sq.ft,Unfurnished,2,Missing,2.0,873 sq.ft
Andheri,3 BHK Apartment,80000,1000 sq.ft,Fully Furnished,3,1,1.0,800 sq.ft
Andheri,1 BHK Apartment,40000,550 sq.ft,Fully Furnished,2,Missing,1.0,475 sq.ft
Andheri,1 BHK Apartment,35000,565 sq.ft,Semi Furnished,2,Missing,1.0,450 sq.ft
Andheri,2 BHK Apartment,41500,1000 sq.ft,Semi Furnished,2,Missing,1.0,750 sq.ft
Andheri,3 BHK Apartment,65000,1610 sq.ft,Fully Furnished,3,2,2.0,1100 sq.ft
Andheri,2 BHK Apartment,85000,1100 sq.ft,Unfurnished,2,1,1.0,850 sq.ft
Andheri,3 BHK Apartment,50000,1200 sq.ft,Semi Furnished,2,2,1.0,1000 sq.ft
Andheri,2 BHK Apartment,25000,750 sq.ft,Semi Furnished,2,Missing,2.0,580 sq.ft
Andheri,2 BHK Apartment,48000,900 sq.ft,Semi Furnished,2,2,1.0,Missing
Andheri,1 RK Apartment,14000,350 sq.ft,Unfurnished,2,Missing,0.0,225 sq.ft
Andheri,2 BHK Apartment,55000,1200 sq.ft,Fully Furnished,2,Missing,1.0,700 sq.ft
Andheri,1 BHK Apartment,30500,625 sq.ft,Unfurnished,1,1,2.0,475 sq.ft
Andheri,1 BHK Apartment,18000,350 sq.ft,Fully Furnished,1,1,1.0,300 sq.ft
Andheri,2 BHK Apartment,65000,900 sq.ft,Semi Furnished,2,1,2.0,750 sq.ft
Andheri,3 BHK Apartment,135000,1680 sq.ft,Semi Furnished,3,2,1.0,1381 sq.ft
Andheri,1 BHK Apartment,25000,600 sq.ft,Unfurnished,1,Missing,0.0,490 sq.ft
Andheri,1 BHK Apartment,32000,750 sq.ft,Unfurnished,1,1,0.0,450 sq.ft
Andheri,2 BHK Apartment,50000,780 sq.ft,Fully Furnished,2,1,1.0,700 sq.ft
Andheri,2 BHK Apartment,55000,780 sq.ft,Semi Furnished,2,Missing,1.0,650 sq.ft
Andheri,2 BHK Apartment,65000,1000 sq.ft,Semi Furnished,2,Missing,2.0,Missing
Andheri,1 BHK Apartment,21000,600 sq.ft,Semi Furnished,2,Missing,1.0,450 sq.ft
Andheri,1 BHK Apartment,25000,650 sq.ft,Fully Furnished,2,2,3.0,550 sq.ft
Andheri,2 BHK Apartment,40000,1100 sq.ft,Fully Furnished,2,Missing,0.0,650 sq.ft
Andheri,3 BHK Apartment,55000,1300 sq.ft,Fully Furnished,3,Missing,1.0,Missing
Andheri,3 BHK Apartment,85000,1400 sq.ft,Fully Furnished,3,3,2.0,1000 sq.ft
Andheri,3 BHK Apartment,100000,1450 sq.ft,Fully Furnished,3,Missing,1.0,1100 sq.ft
Andheri,2 BHK Apartment,42000,800 sq.ft,Unfurnished,2,Missing,1.0,600 sq.ft
Andheri,2 BHK Apartment,55000,950 sq.ft,Unfurnished,2,1,1.0,898 sq.ft
Andheri,1 BHK Apartment,23000,485 sq.ft,Semi Furnished,1,Missing,1.0,390 sq.ft
Andheri,1 BHK Apartment,30000,610 sq.ft,Fully Furnished,2,Missing,1.0,488 sq.ft
Andheri,2 BHK Apartment,42000,825 sq.ft,Semi Furnished,1,Missing,1.0,Missing
Andheri,2 BHK Apartment,54000,1290 sq.ft,Semi Furnished,2,Missing,1.0,785 sq.ft
Andheri,1 RK Apartment,13000,300 sq.ft,Unfurnished,1,Missing,1.0,250 sq.ft
Andheri,1 BHK Apartment,25000,650 sq.ft,Unfurnished,1,1,0.0,450 sq.ft
Andheri,1 RK Apartment,12000,250 sq.ft,Fully Furnished,1,Missing,0.0,250 sq.ft
Andheri,2 BHK Apartment,45000,980 sq.ft,Semi Furnished,2,Missing,1.0,630 sq.ft
Andheri,2 BHK Apartment,50000,1000 sq.ft,Semi Furnished,2,Missing,1.0,800 sq.ft
Andheri,1 BHK Apartment,28000,550 sq.ft,Semi Furnished,1,Missing,0.0,Missing
